页面,模块,组件类型,标题/名称,字段/说明
活动台账,筛选区,下拉框,活动类型,全部/主题党日/组织生活会/外出联学
活动台账,筛选区,下拉框,时间范围,按年/季度/月
活动台账,筛选区,下拉框,审批状态,全部/审批中/已通过/驳回
活动台账,数据区,表格,活动台账列表,时间 内容 参与情况 经费支出 成效 联动状态
活动台账,操作区,按钮,导出台账,导出 Excel/PDF
新建活动,基础信息,输入框,活动名称,必填
新建活动,基础信息,下拉框,活动类型,主题党日/组织生活会/其他
新建活动,基础信息,日期时间,活动时间,开始-结束
新建活动,参与信息,多选,参与人员,应到与实到统计
新建活动,经费信息,数字输入,预算金额,元
新建活动,经费信息,数字输入,实际支出,确认后触发党费台账同步
新建活动,成效信息,文本域,活动成效,成果附件/整改闭环
审批流配置,规则区,规则卡片,无经费流程,提交->自动通过->入台账
审批流配置,规则区,规则卡片,<=10000流程,提交->书记审批->确认支出->同步台账
审批流配置,规则区,规则卡片,>10000流程,提交->书记初审->上级党委/财务审批->同步台账
